2019-03-23 16:06:44,690 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/carlos/workspace/PruebaGSS/PruebaGSS/src/test/resources
2019-03-23 16:06:48,778 [Worker-28] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/carlos/workspace/PruebaGSS/PruebaGSS
2019-03-23 16:06:48,779 [Worker-28] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2019-03-23 16:06:52,683 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:06:52,685 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2019-03-23 16:06:52,694 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:06:52,694 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/carlos/workspace/PruebaGSS/PruebaGSS/src/test/resources
2019-03-23 16:07:50,361 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:07:50,362 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-23 16:07:50,363 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:07:50,364 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/carlos/workspace/PruebaGSS/PruebaGSS/src/test/resources
2019-03-23 16:07:58,319 [Worker-29] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/carlos/workspace/PruebaGSS/PruebaGSS
2019-03-23 16:07:58,320 [Worker-29] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2019-03-23 16:08:01,545 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:08:01,546 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-23 16:08:01,547 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:08:01,547 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/carlos/workspace/PruebaGSS/PruebaGSS/src/test/resources
2019-03-23 16:22:41,631 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:22:41,632 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2019-03-23 16:22:41,635 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:22:41,636 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/carlos/workspace/PruebaGSS/PruebaGSS/src/test/resources
2019-03-23 16:22:59,703 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:22:59,704 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2019-03-23 16:22:59,708 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:22:59,708 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/carlos/workspace/PruebaGSS/PruebaGSS/src/test/resources
2019-03-23 16:23:43,194 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:23:43,195 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2019-03-23 16:23:43,196 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:23:43,197 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/carlos/workspace/PruebaGSS/PruebaGSS/src/test/resources
2019-03-23 16:26:03,921 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:26:03,922 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-23 16:26:03,924 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:26:03,925 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/carlos/workspace/PruebaGSS/PruebaGSS/src/test/resources
2019-03-23 16:26:15,519 [Worker-35] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/carlos/workspace/PruebaGSS/PruebaGSS
2019-03-23 16:26:15,519 [Worker-35] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2019-03-23 16:26:18,463 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:26:18,464 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-23 16:26:18,465 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:26:18,466 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/carlos/workspace/PruebaGSS/PruebaGSS/src/test/resources
2019-03-23 16:28:33,763 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:28:33,764 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2019-03-23 16:28:33,765 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:28:33,766 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/carlos/workspace/PruebaGSS/PruebaGSS/src/test/resources
2019-03-23 16:28:46,733 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:28:46,734 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-23 16:28:46,735 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:28:46,736 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/carlos/workspace/PruebaGSS/PruebaGSS/src/test/resources
2019-03-23 16:31:31,207 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:31:31,208 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-23 16:31:31,211 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:31:31,212 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/carlos/workspace/PruebaGSS/PruebaGSS/src/test/resources
2019-03-23 16:31:38,901 [Worker-38] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/carlos/workspace/PruebaGSS/PruebaGSS
2019-03-23 16:31:38,901 [Worker-38] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2019-03-23 16:31:42,103 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:31:42,104 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-23 16:31:42,105 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:31:42,105 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/carlos/workspace/PruebaGSS/PruebaGSS/src/test/resources
